Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,India,IND,0.42125636,0.41370557,0.38332458,0.33361549,0.26527167,0.33775941,0.41738282,0.76510156,0.93111971,2.04364701,..
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,Brazil,BRA,1.42235199,0.62732587,0.64115648,0.63185923,0.75171201,1.26630207,1.04122053,1.01615587,0.04926772,0.19005153,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,China,CHN,0.181889500702038,0.0556719908238396,0.0110300067237302,0.00325062072775575,0.00527887439326997,0.00614182196820078,0.00244527553992242,0.00247883637544765,0.0901545679999615,0.0755262316685535,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,India,IND,1.40480841483012,1.38840722578964,1.30456357673492,1.06208507164266,0.886063293947787,1.17518379548348,1.52208908318297,2.72843841119216,3.54363430549619,8.35556371631137,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Brazil,BRA,1.83397263276458,1.0404731654568,1.03826887408172,0.912579957281844,1.24983390766921,2.2535598464675,2.36992870485992,2.30387578157297,0.105511481749404,0.389657399593432,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,India,IND,..,..,14.6,..,..,..,..,17.5,..,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,China,CHN,1.769,1.67,1.772,1.795,1.539,1.496,1.236,1.117,1.034,0.999,1.013
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,India,IND,2.293,2.289,2.284,2.193,2.184,2.12,2.047,2.014,1.994,1.975,1.962
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brazil,BRA,1.775,1.777,1.727,1.74,1.744,1.705,1.653,1.638,1.629,1.619,1.614
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,7600,8040,8360,8830,9720,10510,10740,12220,13170,13750,13660
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1540,1580,1670,1790,1970,2070,1900,2170,2390,2580,2650
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,12280,10330,9050,8830,9320,9410,8080,8060,8440,9310,9930
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,China,CHN,3.57,3.82,4.05,4.33,4.59,4.82,5,5.2,5.38,5.63,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,India,IND,1.72,1.7,1.68,1.66,1.64,1.62,1.61,1.59,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Brazil,BRA,2.48,2.39,2.36,2.34,2.3,2.29,2.49,2.52,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,China,CHN,..,..,..,0.673,0.64709883928299,..,0.65310263633728,..,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,India,IND,..,..,..,0.44,0.484795808792114,..,0.493510901927948,..,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Brazil,BRA,..,..,..,0.56,0.545723736286163,..,0.551497936248779,..,..,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,China,CHN,..,..,..,0.674,0.65461403131485,..,0.659177899360657,..,..,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,India,IND,..,..,..,0.451,0.491595357656479,..,0.500491142272949,..,..,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,China,CHN,..,..,..,0.664,0.641133248806,..,0.645420134067535,..,..,..,..
